HostName
ES-W12-TFSSQL-1
ES-W12-TFSSQL-3
es-w12-var-s-1 
la-w08-bps-2
LA-W08-IT-SQL-1
LA-W08-IX-SQL-1
LA-W08-PO-SQL-2
LA-W08-SQL-4
LA-W08-SQL-5
LA-W08-SQL-6
LA-W08-SQL-7
LA-W08-SQL-S-2
LA-W08-SQL-S-3
LA-W08-TV-DB-1
LA-W08-VM-SQL-1
LA-W08-VM-SQL-2
LA-W08-VM-SQL-3
W08-BI360-SQL-2
w08-mbms-d-1
W08-MBMS-DB-1
W08-MBMS-DB-S-1
W08-MEM-SQL-1
W08-MEMSQL-D-1
W08-MEMSQL-D-2
W08-MEM-SQL-S-1
W08-qrm-dbw-1
W08-Qrm-S-2
W08-QRM-SQL-S-1
W08-QRMSV-DB-1
W08-QSV-DB-S-1
W08-VM-SQL-S-3
w12-finsql-3
W12-JAMSSQL-D-1
W12-mms-sql-2
W12-mms-sql-3
W12-mms-sql-s-10
W12-PAN-SQL-S-1
W12-QRM-SQL-S-2
W12-QRMSV-DB-1
w12-tm-SQL-s-1
